anio;EMPRESA;TOTAL
12/2017;"TRANSPORTES 1º SEPTIEMBRE S.A.";698913
12/2017;"TRANSPORTES 27 DE JUNIO S.A.C.I.F.";406424
12/2017;"TRANSPORTES 270 S.A.";751419
12/2017;"TRANSPORTES ALMIRANTE BROWN S.A.";1183085
12/2017;"TRANSPORTES ATLANTIDA S.A.C.";1682746
12/2017;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";952096
12/2017;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2366877
12/2017;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";2456741
12/2017;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1201355
12/2017;"TRANSPORTES COLEGIALES S.A.C.I.";768504
12/2017;"TRANSPORTES DEL TEJAR S.A.";761301
12/2017;"TRANSPORTES LA PERLITA S.A.";8743708
12/2017;"TRANSPORTES LINEA 123 S.A.C.I.";349314
12/2017;"TRANSPORTES LOPE DE VEGA S.A.C.I.";3063140
12/2017;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1378560
12/2017;"TRANSPORTES QUIRNO COSTA S.A.C.I.";775855
12/2017;"TRANSPORTES RIO GRANDE S.A.C.I.F.";2271396
12/2017;"TRANSPORTES SAN CAYETANO S.A.C.";408837
12/2017;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1646467
12/2017;"TRANSPORTES SANTA FE S.A.C.I.";1511951
12/2017;"TRANSPORTES SESENTA Y OCHO S.R.L.";1426704
12/2017;"TRANSPORTES SOL DE MAYO C.I.S.A.";683410
12/2017;"TRANSPORTES SUR-NOR C.I.S.A.";1824440
12/2017;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2374549
12/2017;"TRANSPORTES VILLA BOSCH SAC el";754366
12/2017;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";690557
12/2017;"UNION PLATENSE SRL";2878566
12/2017;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T";1024232
12/2017;"UNION TRANSPORTISTAS DE EMPRESAS SA";693041
12/2017;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";426822
12/2017;"UTENOR SA L 722";179002
12/2017;"VUELTA DE ROCHA S.A.T.C.I.";858054
12/2017;"YITOS S.A.";2173234
11/2017;"17 DE AGOSTO S.A.";983810
11/2017;"4 DE SEPTIEMBRE S.A.T.C.P.";1357533
11/2017;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";4501996
11/2017;"ALMAFUERTE S.A.T.A.C.I.";1108720
11/2017;"AUTOBUSES BUENOS AIRES SRL";1707999
11/2017;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";5103116
11/2017;"BERNARDINO RIVADAVIA S.A.T.A.";2080591
11/2017;"BUENOS AIRES BUS SOCIEDAD ANONIMA";391709
11/2017;"BUS DEL OESTE S.A.";475558
11/2017;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1326429
11/2017;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1205232
11/2017;"CIA LA PAZ AMADOR MOURE SACIFIYA";931114
11/2017;"COLECTIVEROS UNIDOS S.A.";1236773
11/2017;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";4387230
11/2017;"COMPAÑIA DE TRANSPORTE VECINAL S.A.";550891
11/2017;"COMPAÑIA ISLEÑA S.R.L.";4542896
11/2017;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";2034659
11/2017;"COMPAÑIA NOROESTE S.A.T.";3164690
11/2017;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";460670
11/2017;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";86185
11/2017;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4704952
11/2017;"D.U.V.I. SOCIEDAD ANONIMA";1030468
11/2017;"EL NUEVO HALCON S.A.";2476821
11/2017;"EL PUENTE S.A.T.";1896776
11/2017;"EL URBANO SRL";187563
11/2017;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1195959
11/2017;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1524100
11/2017;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1300023
11/2017;"EMPRESA 501 SA";1600499
11/2017;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";765596
11/2017;"EMPRESA CINCO DE AGOSTO S.R.L.";346992
11/2017;"EMPRESA CIUDAD DE SAN FERNANDO SA";2817552
11/2017;"EMPRESA DE TRANSP. MARIANO MORENO S.A.";477839
11/2017;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2966886
11/2017;"EMPRESA DE TRANSPORTE DEL SUR SRL";1018011
11/2017;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";1051824
11/2017;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1801107
11/2017;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";32687
11/2017;"EMPRESA DEL OESTE SAT";3610843
11/2017;"EMPRESA J.M. EZEIZA S.R.L.";1816303
11/2017;"EMPRESA LINEA 216 S.A.T.";9417374
11/2017;"EMPRESA LINEA SIETE SAT";1167247
11/2017;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";393998
11/2017;"EMPRESA MONTE GRANDE S.A. LINEA 501";3936618
11/2017;"EMPRESA NUEVE DE JULIO S.A.T.";2185400
11/2017;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2821118
11/2017;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";484255
11/2017;"EMRESA MONTERREY S.R.L.";192791
11/2017;"EXPRESO ARSENO SRL";1031669
11/2017;"EXPRESO EMPALME LOBOS S.R.L.";78913
11/2017;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";2051578
11/2017;"EXPRESO GENERAL SARMIENTO S.A.";3756776
11/2017;"EXPRESO LA PLATA BUENOS AIRES S.A.";1091157
11/2017;"EXPRESO LOMAS S.A.";1384233
11/2017;"EXPRESO NUEVE DE JULIO S.A.";1531678
11/2017;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";2296421
11/2017;"EXPRESO QUILMES S.A.";2135067
11/2017;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1284197
11/2017;"EXPRESO VILLA GALICIA SAN JOSE S.A.";4155516
11/2017;"EXPRESO VILLA NUEVA S.A.";2040319
11/2017;"FERROVIAS S.A.";2061332
11/2017;"FUERTE BARRAGAN S.A.T.I.C.I.";1095142
11/2017;"GENERAL PUEYRREDON S.A.T.C.I.";1177092
11/2017;"GENERAL TOMAS GUIDO S.A.C.I.F.";5416130
11/2017;"GRUPO LINEA 179 S.A.";478987
11/2017;"JUAN B. JUSTO S.A.T.C.I.";1407848
11/2017;"LA CABAÑA S.A.";7025026
11/2017;"LA CENTRAL DE ESCOBAR SA";1968083
11/2017;"LA CENTRAL DE VICENTE LOPEZ S.A.";568206
11/2017;"LA FLOR DE LUJAN SRL";44888
11/2017;"LA NUEVA METROPOL S.A.";5221226
11/2017;"LA PRIMERA DE GRAND BOURG S.A.";4753364
11/2017;"LA PRIMERA DE LA ESCONDIDA SRL";122587
11/2017;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";386013
11/2017;"LA PRIMERA DE MARTINEZ S.A";1443320
11/2017;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";2682493
11/2017;"LIBERTADOR SAN MARTIN SAT";1708256
11/2017;"LINEA 10 S.A.";902570
11/2017;"LINEA 17 S.A.";1307515
11/2017;"LINEA 213 S.A. DE TRANSPORTE";1589525
11/2017;"LINEA 22 S.A.";769247
11/2017;"LINEA 71 S.A.";1543979
11/2017;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";970314
11/2017;"LINEA EXPRESO LINIERS S.A.I.Y C.";829572
11/2017;"LINEA SESENTA SA";1044486
11/2017;"LOS CONSTITUYENTES S.A.T.";3233642
11/2017;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1505036
11/2017;"MAYO S.A.T.A.";780979
11/2017;METROVIAS;29839779
11/2017;"METROVIAS S.A. (URQUIZA)";2058810
11/2017;"MICRO OMNIBUS AVENIDA S.A.";1041200
11/2017;"MICRO OMNIBUS ESTE S.A";766735
11/2017;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";3145862
11/2017;"MICRO OMNIBUS GRAL PACHECO SRL";1391516
11/2017;"MICRO OMNIBUS MITRE S.A.";1910457
11/2017;"MICRO OMNIBUS NORTE S.A.";2654765
11/2017;"MICRO OMNIBUS O´HIGGINS S.A.T.";625319
11/2017;"MICRO OMNIBUS PRIMERA JUNTA S.A";3349808
11/2017;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";5521883
11/2017;"MICRO OMNIBUS SUR S.A.C.";1576232
11/2017;"MICRO OMNIBUS TIGRE S.A.";3530987
11/2017;"MICROEXPRES S.A.";197474
11/2017;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";903894
11/2017;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";2187917
11/2017;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";1131656
11/2017;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";1483084
11/2017;"NUDO S.A.";3100280
11/2017;"NUEVO IDEAL S.A.";3638347
11/2017;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";2142935
11/2017;"PILAR BUS S.A";837413
11/2017;"ROCARAZA S.A.";2284796
11/2017;"RUTA BUS S.A.";1200282
11/2017;"SAN VICENTE S.A. DE TRANSPORTES";4137517
11/2017;"SARGENTO CABRAL S.A.DE TRANSPORTE";3021661
11/2017;"SERGIO A. RIVAS S.R.L";128611
11/2017;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";1801919
11/2017;"SOFSE - Belgrano Sur";1229334
11/2017;"SOFSE - Mitre";5558120
11/2017;"SOFSE - Roca";13264034
11/2017;"SOFSE - San Martin";4123521
11/2017;"SOFSE- SARMIENTO";6597060
11/2017;"SOFSE- TREN DE LA COSTA";20436
11/2017;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";979600
11/2017;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";669379
11/2017;"TRANSP. SGTO. CABRAL";764619
11/2017;"TRANSPORTE 11 DE JUNIO S.R.L.";439393
11/2017;"TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.";4701088
11/2017;"TRANSPORTE AUTOMOTORES LA PLATA SA";3007752
11/2017;"TRANSPORTE DEL SUR S.R.L.";730288
11/2017;"TRANSPORTE ESCALADA S.A.T.";1068781
11/2017;"TRANSPORTE IDEAL SAN JUSTO S.A.";3801577
11/2017;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";636449
11/2017;"TRANSPORTE LA UNION SA";1249768
11/2017;"TRANSPORTE LARRAZABAL C.I.S.A.";4572968
11/2017;"TRANSPORTE NUEVE DE JULIO SAC.";859819
11/2017;"TRANSPORTES 1º SEPTIEMBRE S.A.";806844
11/2017;"TRANSPORTES 27 DE JUNIO S.A.C.I.F.";495559
11/2017;"TRANSPORTES 270 S.A.";856236
11/2017;"TRANSPORTES ALMIRANTE BROWN S.A.";1268208
11/2017;"TRANSPORTES ATLANTIDA S.A.C.";1789669
11/2017;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";1005982
11/2017;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2703810
11/2017;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";2745747
11/2017;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1412102
11/2017;"TRANSPORTES COLEGIALES S.A.C.I.";918506
11/2017;"TRANSPORTES DEL TEJAR S.A.";859574
11/2017;"TRANSPORTES LA PERLITA S.A.";9244540
11/2017;"TRANSPORTES LINEA 123 S.A.C.I.";390230
11/2017;"TRANSPORTES LOPE DE VEGA S.A.C.I.";3524336
11/2017;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1477178
11/2017;"TRANSPORTES QUIRNO COSTA S.A.C.I.";901144
11/2017;"TRANSPORTES RIO GRANDE S.A.C.I.F.";2494823
11/2017;"TRANSPORTES SAN CAYETANO S.A.C.";440735
11/2017;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1818998
11/2017;"TRANSPORTES SANTA FE S.A.C.I.";1687823
11/2017;"TRANSPORTES SESENTA Y OCHO S.R.L.";1497959
11/2017;"TRANSPORTES SOL DE MAYO C.I.S.A.";792407
11/2017;"TRANSPORTES SUR-NOR C.I.S.A.";2004399
11/2017;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2885517
11/2017;"TRANSPORTES VILLA BOSCH SAC el";847715
11/2017;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";806150
11/2017;"UNION PLATENSE SRL";3479990
11/2017;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T";1165106
11/2017;"UNION TRANSPORTISTAS DE EMPRESAS SA";771564
11/2017;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";449181
11/2017;"UTENOR SA L 722";195975
11/2017;"VUELTA DE ROCHA S.A.T.C.I.";945909
11/2017;"YITOS S.A.";2415266
10/2017;"17 DE AGOSTO S.A.";1011729
10/2017;"4 DE SEPTIEMBRE S.A.T.C.P.";1403203
10/2017;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";4599447
10/2017;"ALMAFUERTE S.A.T.A.C.I.";1113811
10/2017;"AUTOBUSES BUENOS AIRES SRL";1730568
10/2017;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";5065931
10/2017;"BERNARDINO RIVADAVIA S.A.T.A.";2126031
10/2017;"BUENOS AIRES BUS SOCIEDAD ANONIMA";401300
10/2017;"BUS DEL OESTE S.A.";484678
10/2017;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1358105
10/2017;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1223144
10/2017;"CIA LA PAZ AMADOR MOURE SACIFIYA";967941
10/2017;"COLECTIVEROS UNIDOS S.A.";1240968
10/2017;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";4444672
10/2017;"COMPAÑIA DE TRANSPORTE VECINAL S.A.";572155
10/2017;"COMPAÑIA ISLEÑA S.R.L.";4636356
10/2017;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";2072647
10/2017;"COMPAÑIA NOROESTE S.A.T.";3321450
10/2017;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";470433
10/2017;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";85885
10/2017;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4803379
10/2017;"D.U.V.I. SOCIEDAD ANONIMA";1048196
10/2017;"EL NUEVO HALCON S.A.";2558532
10/2017;"EL PUENTE S.A.T.";1970865
10/2017;"EL URBANO SRL";202987
10/2017;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1215888
10/2017;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1538295
10/2017;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1337780
10/2017;"EMPRESA 501 SA";1638566
10/2017;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";777995
10/2017;"EMPRESA CINCO DE AGOSTO S.R.L.";350204
10/2017;"EMPRESA CIUDAD DE SAN FERNANDO SA";2866763
10/2017;"EMPRESA DE TRANSP. MARIANO MORENO S.A.";478197
10/2017;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";3014197
10/2017;"EMPRESA DE TRANSPORTE DEL SUR SRL";1046987
10/2017;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";1040260
10/2017;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1820176
10/2017;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";34393
10/2017;"EMPRESA DEL OESTE SAT";3711512
10/2017;"EMPRESA J.M. EZEIZA S.R.L.";1884546
10/2017;"EMPRESA LINEA 216 S.A.T.";9604759
10/2017;"EMPRESA LINEA SIETE SAT";1185996
10/2017;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";403434
10/2017;"EMPRESA MONTE GRANDE S.A. LINEA 501";4040674
10/2017;"EMPRESA NUEVE DE JULIO S.A.T.";2186471
10/2017;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2799719
10/2017;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";504358
10/2017;"EMRESA MONTERREY S.R.L.";193189
10/2017;"EXPRESO ARSENO SRL";1086159
10/2017;"EXPRESO EMPALME LOBOS S.R.L.";81817
10/2017;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";2061793
10/2017;"EXPRESO GENERAL SARMIENTO S.A.";3827123
10/2017;"EXPRESO LA PLATA BUENOS AIRES S.A.";1089157
10/2017;"EXPRESO LOMAS S.A.";872888
10/2017;"EXPRESO NUEVE DE JULIO S.A.";1588006
10/2017;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";2365782
10/2017;"EXPRESO QUILMES S.A.";2169418
10/2017;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1291088
10/2017;"EXPRESO VILLA GALICIA SAN JOSE S.A.";4176526
10/2017;"EXPRESO VILLA NUEVA S.A.";2061425
10/2017;"FERROVIAS S.A.";2181407
10/2017;"FUERTE BARRAGAN S.A.T.I.C.I.";1123566
10/2017;"GENERAL PUEYRREDON S.A.T.C.I.";1191813
10/2017;"GENERAL TOMAS GUIDO S.A.C.I.F.";5499771
10/2017;"GRUPO LINEA 179 S.A.";517856
10/2017;"JUAN B. JUSTO S.A.T.C.I.";1411086
10/2017;"LA CABAÑA S.A.";7176941
10/2017;"LA CENTRAL DE ESCOBAR SA";2011672
10/2017;"LA CENTRAL DE VICENTE LOPEZ S.A.";568193
10/2017;"LA FLOR DE LUJAN SRL";42530
10/2017;"LA NUEVA METROPOL S.A.";5350070
10/2017;"LA PRIMERA DE GRAND BOURG S.A.";4887776
10/2017;"LA PRIMERA DE LA ESCONDIDA SRL";125196
10/2017;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";402825
10/2017;"LA PRIMERA DE MARTINEZ S.A";1477719
10/2017;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";2706837
10/2017;"LIBERTADOR SAN MARTIN SAT";1786184
10/2017;"LINEA 10 S.A.";897875
10/2017;"LINEA 17 S.A.";1340229
10/2017;"LINEA 213 S.A. DE TRANSPORTE";1603957
10/2017;"LINEA 22 S.A.";789878
10/2017;"LINEA 71 S.A.";1580735
10/2017;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";1008094
10/2017;"LINEA EXPRESO LINIERS S.A.I.Y C.";843473
10/2017;"LINEA SESENTA SA";1075303
10/2017;"LOS CONSTITUYENTES S.A.T.";3327673
10/2017;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1513095
10/2017;"MAYO S.A.T.A.";807742
10/2017;METROVIAS;30320003
10/2017;"METROVIAS S.A. (URQUIZA)";2006674
10/2017;"MICRO OMNIBUS AVENIDA S.A.";1067989
10/2017;"MICRO OMNIBUS ESTE S.A";789580
10/2017;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";3171169
10/2017;"MICRO OMNIBUS GRAL PACHECO SRL";1418924
10/2017;"MICRO OMNIBUS MITRE S.A.";1971442
10/2017;"MICRO OMNIBUS NORTE S.A.";2719206
10/2017;"MICRO OMNIBUS O´HIGGINS S.A.T.";640904
10/2017;"MICRO OMNIBUS PRIMERA JUNTA S.A";3375124
10/2017;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";5626202
10/2017;"MICRO OMNIBUS SUR S.A.C.";1630954
10/2017;"MICRO OMNIBUS TIGRE S.A.";3628399
10/2017;"MICROEXPRES S.A.";205521
10/2017;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";916870
10/2017;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";2181949
10/2017;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";1153376
10/2017;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";1494409
10/2017;"NUDO S.A.";3185098
10/2017;"NUEVO IDEAL S.A.";3730645
10/2017;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";2205766
10/2017;"PILAR BUS S.A";864356
10/2017;"ROCARAZA S.A.";2324312
10/2017;"RUTA BUS S.A.";1231690
10/2017;"SAN VICENTE S.A. DE TRANSPORTES";4382012
10/2017;"SARGENTO CABRAL S.A.DE TRANSPORTE";3079390
10/2017;"SERGIO A. RIVAS S.R.L";133166
10/2017;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";1825469
10/2017;"SOFSE - Belgrano Sur";1185889
10/2017;"SOFSE - Mitre";5537876
10/2017;"SOFSE - Roca";13005279
10/2017;"SOFSE - San Martin";4276412
10/2017;"SOFSE- SARMIENTO";6340874
10/2017;"SOFSE- TREN DE LA COSTA";19154
10/2017;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";975733
10/2017;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";680458
10/2017;"TRANSP. SGTO. CABRAL";780618
10/2017;"TRANSPORTE 11 DE JUNIO S.R.L.";451473
10/2017;"TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.";4889160
10/2017;"TRANSPORTE AUTOMOTORES LA PLATA SA";3107460
10/2017;"TRANSPORTE DEL SUR S.R.L.";736502
10/2017;"TRANSPORTE ESCALADA S.A.T.";1099246
10/2017;"TRANSPORTE IDEAL SAN JUSTO S.A.";3883574
10/2017;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";647362
10/2017;"TRANSPORTE LA UNION SA";1289017
10/2017;"TRANSPORTE LARRAZABAL C.I.S.A.";4621144
10/2017;"TRANSPORTE NUEVE DE JULIO SAC.";867731
10/2017;"TRANSPORTES 1º SEPTIEMBRE S.A.";809123
10/2017;"TRANSPORTES 27 DE JUNIO S.A.C.I.F.";496047
10/2017;"TRANSPORTES 270 S.A.";848171
10/2017;"TRANSPORTES ALMIRANTE BROWN S.A.";1327922
10/2017;"TRANSPORTES ATLANTIDA S.A.C.";1774958
10/2017;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";1043538
10/2017;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2751899
10/2017;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";2839634
10/2017;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1428077
10/2017;"TRANSPORTES COLEGIALES S.A.C.I.";953452
10/2017;"TRANSPORTES DEL TEJAR S.A.";842500
10/2017;"TRANSPORTES LA PERLITA S.A.";9345815
10/2017;"TRANSPORTES LINEA 123 S.A.C.I.";382043
10/2017;"TRANSPORTES LOPE DE VEGA S.A.C.I.";3577033
10/2017;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1527993
10/2017;"TRANSPORTES QUIRNO COSTA S.A.C.I.";923591
10/2017;"TRANSPORTES RIO GRANDE S.A.C.I.F.";2508813
10/2017;"TRANSPORTES SAN CAYETANO S.A.C.";455248
10/2017;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1846448
10/2017;"TRANSPORTES SANTA FE S.A.C.I.";1675518
10/2017;"TRANSPORTES SESENTA Y OCHO S.R.L.";1537333
10/2017;"TRANSPORTES SOL DE MAYO C.I.S.A.";799144
10/2017;"TRANSPORTES SUR-NOR C.I.S.A.";2052573
10/2017;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2854794
10/2017;"TRANSPORTES VILLA BOSCH SAC el";861780
10/2017;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";785735
10/2017;"UNION PLATENSE SRL";3539569
10/2017;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T";1227081
10/2017;"UNION TRANSPORTISTAS DE EMPRESAS SA";781088
10/2017;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";459013
10/2017;"UTENOR SA L 722";174543
10/2017;"VUELTA DE ROCHA S.A.T.C.I.";961606
10/2017;"YITOS S.A.";2463687
09/2017;"17 DE AGOSTO S.A.";978456
09/2017;"4 DE SEPTIEMBRE S.A.T.C.P.";1347069
09/2017;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";4476409
09/2017;"ALMAFUERTE S.A.T.A.C.I.";1081630
09/2017;"AUTOBUSES BUENOS AIRES SRL";1668765
09/2017;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";5038964
09/2017;"BERNARDINO RIVADAVIA S.A.T.A.";2085726
09/2017;"BUENOS AIRES BUS SOCIEDAD ANONIMA";376920
09/2017;"BUS DEL OESTE S.A.";468550
09/2017;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1318320
09/2017;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1148766
09/2017;"CIA LA PAZ AMADOR MOURE SACIFIYA";891456
09/2017;"COLECTIVEROS UNIDOS S.A.";1212726
09/2017;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";4333144
09/2017;"COMPAÑIA DE TRANSPORTE VECINAL S.A.";555599
09/2017;"COMPAÑIA ISLEÑA S.R.L.";4496294
09/2017;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";2061878
09/2017;"COMPAÑIA NOROESTE S.A.T.";3351591
09/2017;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";460009
09/2017;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";87083
09/2017;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4604501
09/2017;"D.U.V.I. SOCIEDAD ANONIMA";1034964
09/2017;"EL NUEVO HALCON S.A.";2462951
09/2017;"EL PUENTE S.A.T.";1878935
09/2017;"EL URBANO SRL";193173
09/2017;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1185637
09/2017;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1516297
09/2017;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1277457
09/2017;"EMPRESA 501 SA";1591350
09/2017;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";760903
09/2017;"EMPRESA CINCO DE AGOSTO S.R.L.";340092
09/2017;"EMPRESA CIUDAD DE SAN FERNANDO SA";2776853
09/2017;"EMPRESA DE TRANSP. MARIANO MORENO S.A.";481245
09/2017;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2904497
09/2017;"EMPRESA DE TRANSPORTE DEL SUR SRL";1016717
09/2017;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";1005856
09/2017;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1811551
09/2017;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";32853
09/2017;"EMPRESA DEL OESTE SAT";3546543
09/2017;"EMPRESA J.M. EZEIZA S.R.L.";1797599
09/2017;"EMPRESA LINEA 216 S.A.T.";9315062
09/2017;"EMPRESA LINEA SIETE SAT";1168956
09/2017;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";392523
09/2017;"EMPRESA MONTE GRANDE S.A. LINEA 501";3919894
09/2017;"EMPRESA NUEVE DE JULIO S.A.T.";2153481
09/2017;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2742903
09/2017;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";481643
09/2017;"EMRESA MONTERREY S.R.L.";194539
09/2017;"EXPRESO ARSENO SRL";1038289
09/2017;"EXPRESO EMPALME LOBOS S.R.L.";77012
